Date,Facility,Total Operations
01/01/2020,ABE,106
01/01/2020,ABI,27
01/01/2020,ABQ,263
01/01/2020,ABY,41
01/01/2020,ACK,55
01/01/2020,ACT,16
01/01/2020,ACY,82
01/01/2020,ADM,12
01/01/2020,ADQ,7
01/01/2020,ADS,161
01/01/2020,ADW,51
01/01/2020,AEG,202
01/01/2020,AEX,56
01/01/2020,AFW,23
01/01/2020,AGC,72
01/01/2020,AGS,50
01/01/2020,AHN,80
01/01/2020,AKN,7
01/01/2020,ALB,134
01/01/2020,ALN,105
01/01/2020,ALO,39
01/01/2020,ALW,69
01/01/2020,AMA,33
01/01/2020,ANC,299
01/01/2020,ANE,201
01/01/2020,APA,520
01/01/2020,APC,72
01/01/2020,APF,289
01/01/2020,ARA,71
01/01/2020,ARB,162
01/01/2020,ARR,116
01/01/2020,ASE,102
01/01/2020,ASG,41
01/01/2020,ASH,83
01/01/2020,ATL,1837
01/01/2020,ATW,61
01/01/2020,AUS,423
01/01/2020,AVL,172
01/01/2020,AVP,255
01/01/2020,AZO,67
01/01/2020,BAF,34
01/01/2020,BAK,137
01/01/2020,BAZ,23
01/01/2020,BBG,15
01/01/2020,BCT,142
01/01/2020,BDL,156
01/01/2020,BDR,65
01/01/2020,BED,207
01/01/2020,BET,5
01/01/2020,BFI,223
01/01/2020,BFL,62
01/01/2020,BFM,25
01/01/2020,BGM,10
01/01/2020,BGR,36
01/01/2020,BHM,166
01/01/2020,BIL,105
01/01/2020,BIS,38
01/01/2020,BJC,55
01/01/2020,BKL,70
01/01/2020,BKV,187
01/01/2020,BLI,98
01/01/2020,BMG,107
01/01/2020,BMI,54
01/01/2020,BNA,509
01/01/2020,BOI,211
01/01/2020,BOS,922
01/01/2020,BPT,44
01/01/2020,BQN,33
01/01/2020,BRO,22
01/01/2020,BTL,21
01/01/2020,BTR,55
01/01/2020,BTV,105
01/01/2020,BUF,117
01/01/2020,BUR,382
01/01/2020,BVY,81
01/01/2020,BWI,566
01/01/2020,BZN,141
01/01/2020,CAE,73
01/01/2020,CAK,89
01/01/2020,CCR,115
01/01/2020,CDW,46
01/01/2020,CGF,43
01/01/2020,CHA,136
01/01/2020,CHD,175
01/01/2020,CHO,289
01/01/2020,CHS,191
01/01/2020,CIC,76
01/01/2020,CID,88
01/01/2020,CKB,27
01/01/2020,CLE,239
01/01/2020,CLL,24
01/01/2020,CLT,1436
01/01/2020,CMA,221
01/01/2020,CMH,257
01/01/2020,CMI,45
01/01/2020,CNO,448
01/01/2020,CNW,0
01/01/2020,COS,171
01/01/2020,COU,44
01/01/2020,CPR,29
01/01/2020,CPS,73
01/01/2020,CRE,40
01/01/2020,CRG,287
01/01/2020,CRP,46
01/01/2020,CRQ,217
01/01/2020,CRW,43
01/01/2020,CSG,81
01/01/2020,CVG,247
01/01/2020,CWA,27
01/01/2020,CWF,7
01/01/2020,CXO,106
01/01/2020,CXY,34
01/01/2020,CYS,16
01/01/2020,DAB,111
01/01/2020,DAL,561
01/01/2020,DAY,98
01/01/2020,DBQ,57
01/01/2020,DCA,539
01/01/2020,DEC,111
01/01/2020,DEN,1656
01/01/2020,DET,37
01/01/2020,DFW,1807
01/01/2020,DHN,24
01/01/2020,DLH,76
01/01/2020,DPA,91
01/01/2020,DSM,145
01/01/2020,DTN,31
01/01/2020,DTO,217
01/01/2020,DTS,150
01/01/2020,DTW,758
01/01/2020,DVT,740
01/01/2020,DWH,131
01/01/2020,DXR,74
01/01/2020,EAU,25
01/01/2020,ECP,174
01/01/2020,EGE,127
01/01/2020,ELM,7
01/01/2020,ELP,147
01/01/2020,EMT,113
01/01/2020,ENA,28
01/01/2020,ENW,134
01/01/2020,ERI,25
01/01/2020,ESN,187
01/01/2020,EUG,59
01/01/2020,EVB,497
01/01/2020,EVV,56
01/01/2020,EWB,52
01/01/2020,EWN,67
01/01/2020,EWR,1093
01/01/2020,EYW,215
01/01/2020,FAI,119
01/01/2020,FAR,49
01/01/2020,FAT,146
01/01/2020,FAY,57
01/01/2020,FCM,131
01/01/2020,FDK,135
01/01/2020,FFZ,280
01/01/2020,FIN,32
01/01/2020,FLG,103
01/01/2020,FLL,998
01/01/2020,FLO,19
01/01/2020,FMN,17
01/01/2020,FMY,249
01/01/2020,FNT,104
01/01/2020,FOE,3
01/01/2020,FOK,32
01/01/2020,FPR,189
01/01/2020,FRG,295
01/01/2020,FSD,76
01/01/2020,FSM,39
01/01/2020,FTG,56
01/01/2020,FTW,140
01/01/2020,FTY,49
01/01/2020,FUL,130
01/01/2020,FWA,82
01/01/2020,FWS,39
01/01/2020,FXE,385
01/01/2020,FYV,15
01/01/2020,GCK,14
01/01/2020,GCN,174
01/01/2020,GEG,124
01/01/2020,GEU,148
01/01/2020,GFK,31
01/01/2020,GGG,51
